hero_id,name,urlslug,note_1,note_2,identity,gsm,alive,appearances,first_appearance_year,first_appearance_month
1380,Flash ,\/wiki\/Flash_(Barry_Allen),Barry Allen,,secret,,living,1028,1956, October
1383,Flash ,\/wiki\/Flash_(Wally_West),Wally West,,secret,,living,,1960, January
1386,Jason Garrick ,\/wiki\/Jason_Garrick_(New_Earth),New Earth,,public,,living,951,1940, January
1399,Eobard Thawne ,\/wiki\/Eobard_Thawne_(New_Earth),New Earth,,secret,,deceased,89,1963, September
1422,Batman ,\/wiki\/Batman_(Bruce_Wayne),Bruce Wayne,,secret,,living,3093,1939, May
1430,Bartholomew Allen II ,\/wiki\/Bartholomew_Allen_II_(New_Earth),New Earth,,secret,,living,,1994, July
1434,Max Mercury ,\/wiki\/Max_Mercury_(New_Earth),New Earth,,secret,,living,183,1940, November
1445,Jason Todd ,\/wiki\/Jason_Todd_(New_Earth),New Earth,,secret,,living,235,1987, June
1448,Wonder Woman ,\/wiki\/Wonder_Woman_(Diana_Prince),Diana Prince,,public,,living,1231,1941, December
1449,Donna Troy ,\/wiki\/Donna_Troy_(New_Earth),New Earth,,public,,living,,1965, July
1450,Lana Lang ,\/wiki\/Lana_Lang_(New_Earth),New Earth,,public,,living,159,1986, October
1451,Timothy Drake ,\/wiki\/Timothy_Drake_(New_Earth),New Earth,,secret,,living,1095,1989, August
1453,Stephanie Brown ,\/wiki\/Stephanie_Brown_(New_Earth),New Earth,,secret,,living,198,1992, August
1454,Arthur Brown ,\/wiki\/Arthur_Brown_(New_Earth),New Earth,,,,living,59,1966, May
1455,Joker ,\/wiki\/Joker_(New_Earth),New Earth,,secret,,living,517,1940, June
1456,Alfred Pennyworth ,\/wiki\/Alfred_Pennyworth_(New_Earth),New Earth,,public,,living,930,1943, April
1458,Green Lantern ,\/wiki\/Green_Lantern_(Hal_Jordan),Hal Jordan,,secret,,living,1565,1959, October
1459,Alan Scott ,\/wiki\/Alan_Scott_(New_Earth),New Earth,,secret,,deceased,969,1940, July
1460,Catwoman ,\/wiki\/Catwoman_(Selina_Kyle),Selina Kyle,,secret,,living,,1940, June
1461,Edward Nashton ,\/wiki\/Edward_Nashton_(New_Earth),New Earth,,public,,living,173,1988, January
1462,Oswald Cobblepot ,\/wiki\/Oswald_Cobblepot_(New_Earth),New Earth,,public,,living,253,1941, December
1463,Bane ,\/wiki\/Bane_(New_Earth),New Earth,,secret,,living,157,1993, January
1464,Pamela Isley ,\/wiki\/Pamela_Isley_(New_Earth),New Earth,,secret,,living,286,1966, June
1465,Silver St. Cloud ,\/wiki\/Silver_St._Cloud_(New_Earth),New Earth,,public,,deceased,26,1977, June
1466,Ra's al Ghul ,\/wiki\/Ra%27s_al_Ghul_(New_Earth),New Earth,,secret,,deceased,,1971, June
1467,Lucius Fox ,\/wiki\/Lucius_Fox_(New_Earth),New Earth,,public,,living,133,1979, January
1468,Jean-Paul Valley ,\/wiki\/Jean-Paul_Valley_(New_Earth),New Earth,,secret,,deceased,234,1992, October
1469,Harleen Quinzel ,\/wiki\/Harleen_Quinzel_(New_Earth),New Earth,,public,,living,153,1999, October
1470,Jervis Tetch ,\/wiki\/Jervis_Tetch_(New_Earth),New Earth,,secret,,living,105,1948, October
1471,Harvey Dent ,\/wiki\/Harvey_Dent_(New_Earth),New Earth,,public,,living,306,1942, August
1473,Basil Karlo ,\/wiki\/Basil_Karlo_(New_Earth),New Earth,,secret,,living,,1940, June
1474,Matthew Hagen ,\/wiki\/Matthew_Hagen_(New_Earth),New Earth,,secret,,deceased,28,1961, December
1475,Preston Payne ,\/wiki\/Preston_Payne_(New_Earth),New Earth,,secret,,deceased,25,1978, June
1477,Cassius Payne ,\/wiki\/Cassius_Payne_(New_Earth),New Earth,,secret,,living,28,1994, May
1478,John Stewart ,\/wiki\/John_Stewart_(New_Earth),New Earth,,public,,living,549,1971, December
1479,Guy Gardner ,\/wiki\/Guy_Gardner_(New_Earth),New Earth,,public,,living,593,1968, March
1480,Alexander Luthor ,\/wiki\/Alexander_Luthor_(New_Earth),New Earth,,public,,living,677,1986, October
1481,Theodore Kord ,\/wiki\/Theodore_Kord_(New_Earth),New Earth,,secret,,deceased,429,1986, February
1482,Jean Loring ,\/wiki\/Jean_Loring_(New_Earth),New Earth,,public,,deceased,168,1961, October
1483,Susan Dearbon ,\/wiki\/Susan_Dearbon_(New_Earth),New Earth,,public,,deceased,235,1961, March
1484,Ralph Dibny ,\/wiki\/Ralph_Dibny_(New_Earth),New Earth,,public,,deceased,558,1960, May
1485,J'onn J'onzz ,\/wiki\/J%27onn_J%27onzz_(New_Earth),New Earth,,public,,living,,1955, November
1486,Aquaman ,\/wiki\/Aquaman_(Arthur_Curry),Arthur Curry,,public,,living,1121,1941, November
1487,Henry Heywood III ,\/wiki\/Henry_Heywood_III_(New_Earth),New Earth,,public,,deceased,55,1984, October
1488,Perry White ,\/wiki\/Perry_White_(New_Earth),New Earth,,public,,living,350,1986, October
1489,Peter Ross ,\/wiki\/Peter_Ross_(New_Earth),New Earth,,public,,living,87,1961, January
1492,Sasha Bordeaux ,\/wiki\/Sasha_Bordeaux_(New_Earth),New Earth,,secret,,living,79,2000, December
1494,Cassandra Cain ,\/wiki\/Cassandra_Cain_(New_Earth),New Earth,,secret,,living,235,1999, July
1495,Vesper Fairchild ,\/wiki\/Vesper_Fairchild_(New_Earth),New Earth,,public,,deceased,26,1997, March
1497,Garfield Lynns ,\/wiki\/Garfield_Lynns_(New_Earth),New Earth,,secret,,living,62,1952, June
1503,Sandra Wu-San ,\/wiki\/Sandra_Wu-San_(New_Earth),New Earth,,secret,,living,89,1976, January
1510,Green Arrow ,\/wiki\/Green_Arrow_(Oliver_Queen),Oliver Queen,,secret,,living,1,1941, November
1514,Uxas ,\/wiki\/Uxas_(New_Earth),New Earth,,public,,deceased,388,1970, December
1517,Doomsday ,\/wiki\/Doomsday_(New_Earth),New Earth,,public,,living,,1992, November
1518,Gorilla Grodd ,\/wiki\/Gorilla_Grodd_(New_Earth),New Earth,,public,,living,179,1959, May
1519,Leonard Snart ,\/wiki\/Leonard_Snart_(New_Earth),New Earth,,secret,,living,219,1957, June
1520,Evan McCulloch ,\/wiki\/Evan_McCulloch_(New_Earth),New Earth,,secret,,living,116,1989, February
1521,Frances Kane ,\/wiki\/Frances_Kane_(New_Earth),New Earth,,public,,living,66,1982, March
1522,George Harkness ,\/wiki\/George_Harkness_(New_Earth),New Earth,,secret,,living,224,1960, December
1527,Citizen Abra ,\/wiki\/Citizen_Abra_(New_Earth),New Earth,,secret,,living,92,1962, May
1528,William Batson ,\/wiki\/William_Batson_(New_Earth),New Earth,,secret,,living,321,1940, February
1529,Albert Desmond ,\/wiki\/Albert_Desmond_(New_Earth),New Earth,,,,living,65,1958, April
1547,Orion ,\/wiki\/Orion_(New_Earth),New Earth,,public,,deceased,237,1971, March
1549,Slade Wilson ,\/wiki\/Slade_Wilson_(New_Earth),New Earth,,secret,,living,336,1980, December
1552,Benjamin Harrison Hayes ,\/wiki\/Benjamin_Harrison_Hayes_(New_Earth),New Earth,,,,living,3,1990, August
1553,Angela Margolin ,\/wiki\/Angela_Margolin_(New_Earth),New Earth,,public,,living,13,1998, December
1554,John Henry Irons ,\/wiki\/John_Henry_Irons_(New_Earth),New Earth,,public,,living,345,1993, June
1555,Amazo ,\/wiki\/Amazo_(New_Earth),New Earth,,public,,living,71,1960, July
1556,Roy Harper ,\/wiki\/Roy_Harper_(New_Earth),New Earth,,secret,,living,654,1941, November
1557,Big Barda ,\/wiki\/Big_Barda_(New_Earth),New Earth,,secret,,deceased,216,1971, October
1558,Teth-Adam ,\/wiki\/Teth-Adam_(New_Earth),New Earth,,secret,,living,152,1945, December
1559,Michael Jon Carter ,\/wiki\/Michael_Jon_Carter_(New_Earth),New Earth,,public,,living,427,1986, February
1560,Nathaniel Adam ,\/wiki\/Nathaniel_Adam_(New_Earth),New Earth,,secret,,living,386,1987, March
