hero_id,name,urlslug,note_1,note_2,identity,alive,appearances,first_appearance_month,first_appearance_year
1025,Emil Blonsky ,\/Emil_Blonsky_(Earth-616),Earth-616,,secret,living,115,April,1967
1026,Absalom ,\/Absalom_(Earth-616),Earth-616,,secret,deceased,6,,1992
1027,Carl Creel ,\/Carl_Creel_(Earth-616),Earth-616,,public,living,202,April,1964
1029,Adam Warlock ,\/Adam_Warlock_(Earth-616),Earth-616,,single,living,252,September,1967
1030,Adam Neramani ,\/Adam_Neramani_(Earth-616),Earth-616,,secret,living,21,October,1993
1032,Eric Cameron ,\/Eric_Cameron_(Earth-616),Earth-616,,secret,living,5,March,1980
1033,Adri Nital ,\/Adri_Nital_(Earth-616),Earth-616,,single,deceased,7,,1975
1034,Adversary ,\/Adversary_(Earth-616),Earth-616,,secret,living,32,December,1984
1035,Aeroika ,\/Aeroika_(Earth-616),Earth-616,,,living,6,January,1980
1036,Agatha Harkness ,\/Agatha_Harkness_(Earth-616),Earth-616,,single,deceased,122,,1970
1037,Agent Axis ,\/Agent_Axis_(Earth-616),Earth-616,,secret,deceased,13,,1977
1038,Cynthia Glass ,\/Cynthia_Glass_(Earth-616),Earth-616,,secret,deceased,6,,1991
1039,Christoph Nord ,\/Christoph_Nord_(Earth-616),Earth-616,,secret,living,66,Feburary,1992
1040,Aginar ,\/Aginar_(Earth-616),Earth-616,,secret,living,6,May,1977
1041,Agon ,\/Agon_(Earth-616),Earth-616,,single,deceased,4,,1968
1043,Alejandro Montoya ,\/Alejandro_Montoya_(Earth-616),Earth-616,,secret,living,18,August,1979
1047,Gabriel Lan ,\/Gabriel_Lan_(Earth-616),Earth-616,,secret,deceased,14,,1981
1048,Air-Walker ,\/Air-Walker_(Automaton)_(Earth-616),Automaton ,Earth-616,,living,27,March,1972
1050,Ajak ,\/Ajak_(Earth-616),Earth-616,,secret,living,40,August,1976
1052,Thomas Jones ,\/Thomas_Jones_(Earth-616),Earth-616,,secret,living,11,June,1989
1054,Allatou ,\/Allatou_(Earth-616),Earth-616,,,living,7,October,1974
1056,Alpha ,\/Alpha_(Mutant)_(Earth-616),Mutant ,Earth-616,secret,living,11,September,1974
1057,Marlene Alraune ,\/Marlene_Alraune_(Earth-616),Earth-616,,single,living,156,June,1976
1058,Amaa ,\/Amaa_(Earth-616),Earth-616,,,living,,January,1983
1060,Ambur Amaquelin ,\/Ambur_Amaquelin_(Earth-616),Earth-616,,single,living,1,January,2011
1061,Jason Strongbow ,\/Jason_Strongbow_(Earth-616),Earth-616,,secret,living,23,September,1981
1062,Lyle Dekker ,\/Lyle_Dekker_(Earth-616),Earth-616,,public,deceased,11,,1978
1063,Ammo ,\/Ammo_(Earth-616),Earth-616,,,living,4,March,1988
1065,Amphibius ,\/Amphibius_(Earth-616),Earth-616,,secret,living,38,November,1969
1066,Blanche Sitznski ,\/Blanche_Sitznski_(Earth-616),Earth-616,,secret,living,69,June,1980
1067,Tike Alicar ,\/Tike_Alicar_(Earth-616),Earth-616,,secret,deceased,50,,2001
1068,Yao ,\/Yao_(Earth-616),Earth-616,,secret,living,122,June,1961
1069,Andromeda Attumasen ,\/Andromeda_Attumasen_(Earth-616),Earth-616,,single,living,42,May,1985
1070,David Angar ,\/David_Angar_(Earth-616),Earth-616,,secret,deceased,37,,1973
1071,Thomas Halloway ,\/Thomas_Halloway_(Earth-616),Earth-616,,public,living,135,October,1939
1072,Simon Halloway ,\/Simon_Halloway_(Earth-616),Earth-616,,public,living,4,October,1991
1073,Warren Worthington III ,\/Warren_Worthington_III_(Earth-616),Earth-616,,public,living,1230,September,1963
1075,Ani-Mator ,\/Ani-Mator_(Earth-616),Earth-616,,secret,deceased,8,,1988
1078,Annihilus ,\/Annihilus_(Earth-616),Earth-616,,single,living,125,November,1968
1080,Scott Lang ,\/Scott_Lang_(Earth-616),Earth-616,,public,living,209,March,1979
1081,John Anvil ,\/John_Anvil_(Earth-616),Earth-616,,public,deceased,7,,1974
1084,En Sabah Nur ,\/En_Sabah_Nur_(Earth-616),Earth-616,,public,deceased,160,,1986
1085,Wundarr ,\/Wundarr_(Earth-616),Earth-616,,public,living,46,October,1973
1086,Darren Bentley ,\/Darren_Bentley_(Earth-616),Earth-616,,secret,deceased,19,,1970
1087,Zachary Drebb ,\/Zachary_Drebb_(Earth-616),Earth-616,,secret,deceased,4,,1984
1090,Aragorn ,\/Aragorn_(Earth-616),Earth-616,,single,living,128,January,1968
1091,Arcade ,\/Arcade_(Earth-616),Earth-616,,secret,living,111,January,1978
1094,Philippa Sontag ,\/Philippa_Sontag_(Earth-616),Earth-616,,secret,living,57,October,1986
1095,Ares ,\/Ares_(Earth-616),Earth-616,,secret,deceased,236,,1949
1097,Ariel ,\/Ariel_(Coconut_Grove)_(Earth-616),Coconut Grove ,Earth-616,single,living,21,May,1987
1098,Marcus Lassiter ,\/Marcus_Lassiter_(Earth-616),Earth-616,,,deceased,8,,1970
1099,Grover Raymond ,\/Grover_Raymond_(Earth-616),Earth-616,,secret,deceased,10,,1974
1103,Arishem ,\/Arishem_(Earth-616),Earth-616,,single,living,44,August,1976
1104,Arkon ,\/Arkon_(Earth-616),Earth-616,,,living,33,April,1970
1105,Arkus ,\/Arkus_(Earth-616),Earth-616,,single,living,3,July,1973
1106,Antonio Rodriguez ,\/Antonio_Rodriguez_(Earth-616),Earth-616,,secret,living,51,August,1985
1107,Arnim Zola ,\/Arnim_Zola_(Earth-616),Earth-616,,single,living,76,April,1977
1108,Arsenal ,\/Arsenal_(Robot)_(Earth-616),Robot ,Earth-616,secret,living,13,September,1978
1110,Cleo Nefertiti ,\/Cleo_Nefertiti_(Earth-616),Earth-616,,secret,living,55,September,1985
1112,Charles Benton ,\/Charles_Benton_(Earth-616),Earth-616,,secret,deceased,10,,1968
1113,Astra ,\/Astra_(Imperial_Guard)_(Earth-616),Imperial Guard ,Earth-616,secret,living,19,October,1977
1114,Astra ,\/Astra_(Mutant)_(Earth-616),Mutant ,Earth-616,secret,living,10,March,1999
1116,Seginn Gallio ,\/Seginn_Gallio_(Earth-616),Earth-616,,secret,deceased,11,,1987
1117,Erik Josten ,\/Erik_Josten_(Earth-616),Earth-616,,secret,living,204,October,1965
1118,Ronald English ,\/Ronald_English_(Earth-616),Earth-616,,secret,deceased,8,,1976
1119,Michael English ,\/Michael_English_(Earth-616),Earth-616,,secret,deceased,5,,1982
1120,Attuma ,\/Attuma_(Earth-616),Earth-616,,single,living,94,December,1964
1122,Jeanne-Marie Beaubier ,\/Jeanne-Marie_Beaubier_(Earth-616),Earth-616,,secret,living,203,April,1979
1123,Autolycus ,\/Autolycus_(Earth-616),Earth-616,,single,living,21,April,1975
1124,Dominikos Petrakis ,\/Dominikos_Petrakis_(Earth-616),Earth-616,,secret,deceased,108,,1981
1125,Azur ,\/Azur_(Earth-616),Earth-616,,,living,,,
